Package,Built
acepack,3.4.0
acs,3.4.2
ada,3.4.0
addinslist,3.4.0
Amelia,3.4.0
anytime,3.4.0
assertive,3.4.0
assertive.base,3.4.0
assertive.code,3.4.0
assertive.data,3.4.0
assertive.data.uk,3.4.0
assertive.data.us,3.4.0
assertive.datetimes,3.4.0
assertive.files,3.4.0
assertive.matrices,3.4.0
assertive.models,3.4.0
assertive.numbers,3.4.0
assertive.properties,3.4.0
assertive.reflection,3.4.0
assertive.sets,3.4.0
assertive.strings,3.4.0
assertive.types,3.4.0
assertthat,3.4.0
backports,3.4.3
base64,3.4.0
base64enc,3.4.0
BH,3.4.1
BHH2,3.4.0
bindr,3.4.0
bindrcpp,3.4.0
binman,3.4.0
bit,3.4.0
bit64,3.4.0
bitops,3.4.0
blob,3.4.0
blogdown,3.4.3
bookdown,3.4.1
brew,3.4.0
broom,3.4.2
callr,3.4.3
car,3.4.3
caret,3.4.3
caTools,3.4.0
cellranger,3.4.0
cfhttr,3.4.2
checkmate,3.4.2
choroplethr,3.4.0
choroplethrMaps,3.4.0
chron,3.4.3
ckanr,3.4.0
class,3.4.0
classInt,3.4.0
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.0
cluster,3.4.0
coda,3.4.0
colformat,3.4.0
colorspace,3.4.0
colourpicker,3.4.2
commonmark,3.4.1
copydat,3.4.0
CRANsearcher,3.4.0
crayon,3.4.1
cronR,3.4.0
crosstalk,3.4.0
csvy,3.4.0
curl,3.4.3
CVST,3.4.0
data.table,3.4.2
datapasta,3.4.0
DBI,3.4.0
dbplyr,3.4.3
ddalpha,3.4.2
debugme,3.4.2
DEoptimR,3.4.0
desc,3.4.1
devtools,3.4.2
dichromat,3.4.0
digest,3.4.3
dimRed,3.4.0
directlabels,3.4.0
docker,3.4.1
dplyr,3.4.2
DRR,3.4.3
DT,3.4.3
dtplyr,3.4.0
e1071,3.4.0
enc,3.4.2
english,3.4.0
evaluate,3.4.1
evd,3.4.0
extrafont,3.4.0
extrafontdb,3.4.0
fastmatch,3.4.0
ff,3.4.0
ffbase,3.4.0
fivethirtyeight,3.4.1
forcats,3.4.0
foreach,3.4.3
foreign,3.4.1
formatR,3.4.0
Formula,3.4.0
fs,3.4.3
gapminder,3.4.2
gdalUtils,3.4.0
geosphere,3.4.2
getPass,3.4.1
ggedit,3.4.0
ggmap,3.4.0
ggplot2,3.4.3
ggplot2movies,3.4.0
ggridges,3.4.1
ggThemeAssist,3.4.0
ggthemes,3.4.0
gh,3.4.3
ghit,3.4.1
gistr,3.4.0
git2r,3.4.3
glue,3.4.2
gmailr,3.4.0
googledrive,3.4.1
googlesheets,3.4.0
gower,3.4.0
gridExtra,3.4.1
gsubfn,3.4.0
gtable,3.4.0
gutenbergr,3.4.1
harbor,3.4.0
HARtools,3.4.0
haven,3.4.3
here,3.4.0
hexbin,3.4.3
hflights,3.4.0
highlight,3.4.2
highlite,3.4.3
highr,3.4.0
Hmisc,3.4.3
hms,3.4.3
hrbraddins,3.4.2
hrbrthemes,3.4.0
htmlTable,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.3
httpuv,3.4.1
httr,3.4.1
hunspell,3.4.3
infer,3.4.3
ini,3.4.2
inline,3.4.0
ipred,3.4.0
ISOcodes,3.4.2
iterators,3.4.3
janeaustenr,3.4.0
janitor,3.4.3
jose,3.4.0
jpeg,3.4.0
jsonlite,3.4.0
kernlab,3.4.0
keyring,3.4.1
knitr,3.4.3
labeling,3.4.0
Lahman,3.4.1
latticeExtra,3.4.0
lava,3.4.3
lazyeval,3.4.2
limoaddin,3.4.0
listviewer,3.4.0
lme4,3.4.3
loo,3.4.0
lookup,3.4.3
lubridate,3.4.2
magick,3.4.3
magrittr,3.4.0
mapproj,3.4.0
maps,3.4.0
maptools,3.4.0
markdown,3.4.0
MASS,3.4.3
MatrixModels,3.4.0
matrixStats,3.4.0
memoise,3.4.3
mgcv,3.4.3
mime,3.4.0
miniUI,3.4.0
minqa,3.4.0
mnormt,3.4.0
ModelMetrics,3.4.0
modelr,3.4.1
munsell,3.4.0
mvtnorm,3.4.0
NCmisc,3.4.0
ndjson,3.4.1
nlme,3.4.0
nloptr,3.4.0
nnet,3.4.0
numDeriv,3.4.0
nycflights13,3.4.0
okcupiddata,3.4.0
oldbookdown,3.4.0
openssl,3.4.2
openxlsx,3.4.0
operators,3.4.0
packrat,3.4.0
pander,3.4.1
pbkrtest,3.4.0
pdftools,3.4.2
pillar,3.4.3
pkgbuild,3.4.3
pkgconfig,3.4.0
pkgdown,3.4.3
pkgload,3.4.3
PKI,3.4.1
plogr,3.4.0
plotly,3.4.1
plyr,3.4.0
png,3.4.0
praise,3.4.3
precis,3.4.0
processx,3.4.1
prodlim,3.4.0
proftools,3.4.0
proto,3.4.0
pryr,3.4.2
psych,3.4.1
purrr,3.4.2
